AD_LEVEL,TA_ID,TAMBON_T,TAMBON_E,AM_ID,AMPHOE_T,AMPHOE_E,CH_ID,CHANGWAT_T,CHANGWAT_E,LAT,LONG
4,760119,_. __________,Ton Maphrao,7601,_. _____________,Mueang Phetchaburi,76,_. ________,Phetchaburi,13.146,99.860
4,140208,_. ______,Pak Tha,1402,_. _______,Tha Ruea,14,_. _______________,Phra Nakhon Si Ayutthaya,14.504,100.692
4,210112,_. ______,Nam Khok,2101,_. __________,Mueang Rayong,21,_. _____,Rayong,12.716,101.269
4,160121,_. __________,Phrommat,1601,_. ___________,Mueang Lop Buri,16,_. ______,Lop Buri,14.820,100.603
4,140716,_. ______,Tan En,1407,_. ________,Bang Pahan,14,_. _______________,Phra Nakhon Si Ayutthaya,14.524,100.563
4,941007,_. ___,Wat,9410,_. _____,Yarang,94,_. _______,Pattani,6.735,101.308
4,760602,_. _______,Ban Hat,7606,_. _______,Ban Lat,76,_. ________,Phetchaburi,13.076,99.918
4,190105,_. ________,Dao Rueang,1901,_. ____________,Mueang Saraburi,19,_. _______,Saraburi,14.563,100.901
4,710601,_. _______,Tha Muang,7106,_. _______,Tha Muang,71,_. _________,Kanchanaburi,13.974,99.625
4,140403,_. _______,Sanam Chai,1404,_. ______,Bang Sai,14,_. _______________,Phra Nakhon Si Ayutthaya,14.213,100.522
4,940913,_. _____,Baloi,9409,_. _______,Yaring,94,_. _______,Pattani,6.781,101.439
4,730115,_. ________,Thung Noi,7301,_. ___________,mueang Nakhon Pathom,73,_. ______,Nakhon Pathom,13.867,100.108
4,540119,_. _______,Rong Fong,5401,_. _________,Mueang Phrae,54,_. ____,Phrae,18.167,100.193
4,510604,_. ________,Muang Noi,5106,_. ______,Pa Sang,51,_. _____,Lamphun,18.479,98.941
4,760710,_. __________,Tha Raeng Ok,7607,_. ________,Ban Laem,76,_. ________,Phetchaburi,13.155,99.976
4,501313,_. _______,San Klang,5013,_. ________,San Kamphaeng,50,_. _________,Chiang Mai,18.775,99.056
4,730305,_. _______,Bang Kaeo,7303,_. _________,Nakhon Chai Si,73,_. ______,Nakhon Pathom,13.775,100.168
4,830301,_. ___________,Thep Krasattri,8303,_. ____,Thalang,83,_. ______,Phuket,8.107,98.383
4,540401,_. _______,Sung Men,5404,_. _______,Sung Men,54,_. ____,Phrae,18.059,100.087
4,920213,_. ________,Ko Libong,9202,_. ______,Kantang,92,_. ____,Trang,7.373,99.295
